step,epoch,lr,loss,n_skipped
50,0,7.350000000000001e-07,0.9196774363517761,1093
100,0,1.4850000000000002e-06,0.8995414972305298,2254
150,0,2.2349999999999998e-06,0.8964672088623047,3390
200,0,2.9850000000000002e-06,0.8821986317634583,4284
250,0,3.7350000000000002e-06,0.8473432660102844,4964
300,0,4.485e-06,0.7964335083961487,5470
350,0,5.235e-06,0.7207475900650024,5883
400,0,5.985e-06,0.7056763172149658,6233
450,0,6.735000000000001e-06,0.6642532348632812,6552
500,0,7.485e-06,0.643571674823761,6855
550,0,8.235000000000002e-06,0.6016219854354858,7120
600,0,8.985e-06,0.5644841194152832,7328
650,0,9.735e-06,0.45290613174438477,7489
700,0,1.0485e-05,0.4083910584449768,7618
